Set Name,Piece Type,Piece Name,Level,Strength,Defense,Upgrade_Hacksilver,Upgrade_Forged Iron,Upgrade_Asgardian Ingot,Runic,Vitality,Cooldown,Luck,Upgrade_Bonded Leather,Upgrade_Smoldering Embers,Upgrade_Skap Slag,Upgrade_Smouldering Embers,Upgrade_Mountain Root,Upgrade_Dwarven Steel,Upgrade_Tempered Remnants,Upgrade_Sparkling Crystal,Upgrade_Asgardian Ingots,Upgrade_Dwaren Steel,Upgrade_Nidavellir Ore,Upgrade_Purified Crystalline,Upgrade_s Broken Cuirass,Upgrade_s Broken Bracers,Upgrade_s Broken Belt,Upgrade_Divine Ashes,Upgrade_Dragon Tooth,Upgrade_Dragon Claw,Total Stats
Risen Snow Set,Wrist,Risen Snow Gauntlets,9.3,115.0,,32500.0,,,,,29.0,29.0,,,20.0,10.0,,,,,,,,,,,,,,,173.0
Risen Snow Set,Wrist,Risen Snow Gauntlets,10.0,125.0,,35000.0,,,,,31.0,31.0,,,30.0,,1.0,,,,,,,,,,,,,,187.0
Risen Snow Set,Waist,Risen Snow Girdle,1.0,5.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,6.0
Risen Snow Set,Waist,Risen Snow Girdle,2.0,15.0,,600.0,3.0,,,,,2.0,,,,,,,,,,,,,,,,,,,17.0
Risen Snow Set,Waist,Risen Snow Girdle,3.0,25.0,,1200.0,5.0,,,,4.0,4.0,,,,,,,,,,,,,,,,,,,33.0
Risen Snow Set,Waist,Risen Snow Girdle,4.0,35.0,,4000.0,,,,,5.0,5.0,,,,,,2.0,,,,,,,,,,,,,45.0
Risen Snow Set,Waist,Risen Snow Girdle,5.0,45.0,,6500.0,,,,,9.0,9.0,,,,,,4.0,,,,,,,,,,,,,63.0
Risen Snow Set,Waist,Risen Snow Girdle,6.0,55.0,,10000.0,,1.0,,,11.0,11.0,,,,,,,,,,,,,,,,,,,77.0
Risen Snow Set,Waist,Risen Snow Girdle,7.0,65.0,,13500.0,,2.0,,,16.0,16.0,,,,,,,,,,,,,,,,,,,97.0
Risen Snow Set,Waist,Risen Snow Girdle,8.0,75.0,,16500.0,,3.0,,,19.0,19.0,10.0,,,,,,,,,,,,,,,,,,113.0
Risen Snow Set,Waist,Risen Snow Girdle,9.0,85.0,,25000.0,,,,,21.0,21.0,20.0,,,,,,,10.0,,,,,,,,,,,127.0
Risen Snow Set,Waist,Risen Snow Girdle,9.1,95.0,,27500.0,,,,,24.0,24.0,,,5.0,,,,,,,,,,,,,,,,143.0
Risen Snow Set,Waist,Risen Snow Girdle,9.2,105.0,,30000.0,,,,,26.0,26.0,5.0,,10.0,,,,,,,,,,,,,,,,157.0
Risen Snow Set,Waist,Risen Snow Girdle,9.3,115.0,,32500.0,,,,,29.0,29.0,,,20.0,10.0,,,,,,,,,,,,,,,173.0
Risen Snow Set,Waist,Risen Snow Girdle,10.0,125.0,,35000.0,,,,,31.0,31.0,,,30.0,,1.0,,,,,,,,,,,,,,187.0
Darkdale Set,Chest,Darkdale Plackart,1.0,4.0,4.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,9.0
Darkdale Set,Chest,Darkdale Plackart,2.0,12.0,12.0,1000.0,5.0,,2.0,,,,,,,,,,,,,,,,,,,,,,26.0
Darkdale Set,Chest,Darkdale Plackart,3.0,20.0,20.0,2000.0,10.0,,6.0,6.0,,,,,,,,,,,,,,,,,,,,,52.0
Darkdale Set,Chest,Darkdale Plackart,4.0,28.0,28.0,6000.0,,,8.0,8.0,,,,,,,,4.0,,,,,,,,,,,,,72.0
Darkdale Set,Chest,Darkdale Plackart,5.0,36.0,36.0,10000.0,,,14.0,14.0,,,,,,,,8.0,,,,,,,,,,,,,100.0
Darkdale Set,Chest,Darkdale Plackart,6.0,44.0,44.0,15000.0,,,18.0,18.0,,,,,,,,,,,2.0,,,,,,,,,,124.0
Darkdale Set,Chest,Darkdale Plackart,7.0,52.0,52.0,20000.0,,,26.0,26.0,,,,,,,,,,,4.0,,,,,,,,,,156.0
Darkdale Set,Chest,Darkdale Plackart,8.0,60.0,60.0,25000.0,,,30.0,30.0,,,20.0,,,,,,,,5.0,,,,,,,,,,180.0
Darkdale Set,Chest,Darkdale Plackart,9.0,68.0,68.0,35000.0,,,34.0,34.0,,,40.0,,,2.0,,,,,,,,,,,,,,,204.0
Darkdale Set,Chest,Darkdale Plackart,9.1,76.0,76.0,37500.0,,,38.0,38.0,,,,,10.0,,,,,,,,,,,,,,,,228.0
Darkdale Set,Chest,Darkdale Plackart,9.2,84.0,84.0,40000.0,,,42.0,42.0,,,10.0,,15.0,,,,,,,,,,,,,,,,252.0
Darkdale Set,Chest,Darkdale Plackart,9.3,92.0,92.0,42500.0,,,46.0,46.0,,,,,30.0,20.0,,,,,,,,,,,,,,,276.0
Darkdale Set,Chest,Darkdale Plackart,10.0,100.0,100.0,45000.0,,,50.0,50.0,,,,,50.0,,1.0,,,,,,,,,,,,,,300.0
Darkdale Set,Wrist,Darkdale Arm Guards,1.0,5.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,6.0
Darkdale Set,Wrist,Darkdale Arm Guards,2.0,15.0,,600.0,3.0,,2.0,,,,,,,,,,,,,,,,,,,,,,17.0
Darkdale Set,Wrist,Darkdale Arm Guards,3.0,25.0,,1200.0,5.0,,4.0,4.0,,,,,,,,,,,,,,,,,,,,,33.0
Darkdale Set,Wrist,Darkdale Arm Guards,4.0,35.0,,4000.0,,,5.0,5.0,,,,,,,,2.0,,,,,,,,,,,,,45.0
Darkdale Set,Wrist,Darkdale Arm Guards,5.0,45.0,,6500.0,,,9.0,9.0,,,,,,,,4.0,,,,,,,,,,,,,63.0
Darkdale Set,Wrist,Darkdale Arm Guards,6.0,55.0,,10000.0,,,11.0,11.0,,,,,,,,,,,1.0,,,,,,,,,,77.0
Darkdale Set,Wrist,Darkdale Arm Guards,7.0,65.0,,13500.0,,,16.0,16.0,,,,,,,,,,,2.0,,,,,,,,,,97.0
Darkdale Set,Wrist,Darkdale Arm Guards,8.0,75.0,,16500.0,,,19.0,19.0,,,10.0,,,,,,,,3.0,,,,,,,,,,113.0
Darkdale Set,Wrist,Darkdale Arm Guards,9.0,85.0,,25000.0,,,21.0,21.0,,,20.0,,,,,,5.0,,,,,,,,,,,,127.0
Darkdale Set,Wrist,Darkdale Arm Guards,9.1,95.0,,27500.0,,,24.0,24.0,,,,,5.0,,,,,,,,,,,,,,,,143.0
Darkdale Set,Wrist,Darkdale Arm Guards,9.2,105.0,,30000.0,,,26.0,26.0,,,5.0,,10.0,,,,,,,,,,,,,,,,157.0
Darkdale Set,Wrist,Darkdale Arm Guards,9.3,115.0,,32500.0,,,29.0,29.0,,,,,20.0,10.0,,,,,,,,,,,,,,,173.0
Darkdale Set,Wrist,Darkdale Arm Guards,10.0,125.0,,35000.0,,,31.0,31.0,,,,,30.0,,1.0,,,,,,,,,,,,,,187.0
Darkdale Set,Waist,Darkdale Waist Guard,1.0,5.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,6.0
Darkdale Set,Waist,Darkdale Waist Guard,2.0,15.0,,600.0,3.0,,2.0,,,,,,,,,,,,,,,,,,,,,,17.0
Darkdale Set,Waist,Darkdale Waist Guard,3.0,25.0,,1200.0,5.0,,4.0,4.0,,,,,,,,,,,,,,,,,,,,,33.0
Darkdale Set,Waist,Darkdale Waist Guard,4.0,35.0,,4000.0,,,5.0,5.0,,,,,,,,2.0,,,,,,,,,,,,,45.0
Darkdale Set,Waist,Darkdale Waist Guard,5.0,45.0,,6500.0,,,9.0,9.0,,,,,,,,4.0,,,,,,,,,,,,,63.0
Darkdale Set,Waist,Darkdale Waist Guard,6.0,55.0,,10000.0,,,11.0,11.0,,,,,,,,,,,1.0,,,,,,,,,,77.0
Darkdale Set,Waist,Darkdale Waist Guard,7.0,65.0,,13500.0,,,16.0,16.0,,,,,,,,,,,2.0,,,,,,,,,,97.0
Darkdale Set,Waist,Darkdale Waist Guard,8.0,75.0,,16500.0,,,19.0,19.0,,,10.0,,,,,,,,3.0,,,,,,,,,,113.0
Darkdale Set,Waist,Darkdale Waist Guard,9.0,85.0,,25000.0,,,21.0,21.0,,,20.0,,,,,,10.0,,,,,,,,,,,,127.0
Darkdale Set,Waist,Darkdale Waist Guard,9.1,95.0,,27500.0,,,24.0,24.0,,,,,5.0,,,,,,,,,,,,,,,,143.0
Darkdale Set,Waist,Darkdale Waist Guard,9.2,105.0,,30000.0,,,26.0,26.0,,,5.0,,10.0,,,,,,,,,,,,,,,,157.0
Darkdale Set,Waist,Darkdale Waist Guard,9.3,115.0,,32500.0,,,29.0,29.0,,,,,20.0,10.0,,,,,,,,,,,,,,,173.0
Darkdale Set,Waist,Darkdale Waist Guard,10.0,125.0,,35000.0,,,31.0,31.0,,,,,30.0,,1.0,,,,,,,,,,,,,,187.0
Nidavellir's Finest Set,Chest,Nidavellir's Finest Plackart,2.0,10.0,10.0,,,,,10.0,,,,,,,,,,,,,2.0,,,,,,,,30.0
Nidavellir's Finest Set,Chest,Nidavellir's Finest Plackart,3.0,16.0,20.0,2000.0,13.0,,,16.0,,,,,,,,,,,,,,,,,,,,,52.0
Nidavellir's Finest Set,Chest,Nidavellir's Finest Plackart,4.0,22.0,34.0,6000.0,,,,22.0,,,,,,,,4.0,,,,,,,,,,,,,78.0
Nidavellir's Finest Set,Chest,Nidavellir's Finest Plackart,5.0,29.0,50.0,10000.0,,,,29.0,,,,,,,,8.0,,,,,,,,,,,,,108.0
Nidavellir's Finest Set,Chest,Nidavellir's Finest Plackart,6.0,35.0,62.0,15000.0,,2.0,,35.0,,,,,,,,,,,,,,,,,,,,,132.0
Nidavellir's Finest Set,Chest,Nidavellir's Finest Plackart,7.0,42.0,73.0,20000.0,,4.0,,42.0,,,,,,,,,,,,,,,,,,,,,157.0
Nidavellir's Finest Set,Chest,Nidavellir's Finest Plackart,8.0,48.0,84.0,25000.0,,5.0,,48.0,,,,,,,,,,,,,,20.0,,,,,,,180.0
Nidavellir's Finest Set,Chest,Nidavellir's Finest Plackart,9.0,54.0,95.0,35000.0,,,,54.0,,,,2.0,,,,,,,,,,40.0,,,,,,,203.0
Nidavellir's Finest Set,Chest,Nidavellir's Finest Plackart,9.1,61.0,106.0,37500.0,,,,61.0,,,,,10.0,,,,,,,,,,,,,,,,228.0
Nidavellir's Finest Set,Chest,Nidavellir's Finest Plackart,9.2,67.0,118.0,40000.0,,,,67.0,,,10.0,,15.0,,,,,,,,,,,,,,,,252.0
Nidavellir's Finest Set,Chest,Nidavellir's Finest Plackart,9.3,74.0,129.0,42500.0,,,,74.0,,,,,30.0,20.0,,,,,,,,,,,,,,,277.0
Nidavellir's Finest Set,Chest,Nidavellir's Finest Plackart,10.0,80.0,140.0,45000.0,,,,80.0,,,,,50.0,,1.0,,,,,,,,,,,,,,300.0
Nidavellir's Finest Set,Wrist,Nidavellir's Finest Arm Guards,2.0,12.0,,,,,,6.0,,,,,,,,,,,,,2.0,,,,,,,,18.0
Nidavellir's Finest Set,Wrist,Nidavellir's Finest Arm Guards,3.0,23.0,,1200.0,6.0,,,10.0,,,,,,,,,,,,,,,,,,,,,33.0
Nidavellir's Finest Set,Wrist,Nidavellir's Finest Arm Guards,4.0,28.0,7.0,4000.0,,,,14.0,,,,,,,,2.0,,,,,,,,,,,,,49.0
Nidavellir's Finest Set,Wrist,Nidavellir's Finest Arm Guards,5.0,36.0,14.0,6500.0,,,,18.0,,,,,,,,4.0,,,,,,,,,,,,,68.0
Nidavellir's Finest Set,Wrist,Nidavellir's Finest Arm Guards,6.0,44.0,17.0,10000.0,,1.0,,22.0,,,,,,,,,,,,,,,,,,,,,83.0
Nidavellir's Finest Set,Wrist,Nidavellir's Finest Arm Guards,7.0,52.0,20.0,13500.0,,2.0,,26.0,,,,,,,,,,,,,,,,,,,,,98.0
Nidavellir's Finest Set,Wrist,Nidavellir's Finest Arm Guards,8.0,60.0,23.0,16500.0,,3.0,,30.0,,,,,,,,,,,,,,10.0,,,,,,,113.0
Nidavellir's Finest Set,Wrist,Nidavellir's Finest Arm Guards,9.0,68.0,26.0,25000.0,,,,34.0,,,,,,,,,5.0,,,,,20.0,,,,,,,128.0
Nidavellir's Finest Set,Wrist,Nidavellir's Finest Arm Guards,9.1,76.0,29.0,27500.0,,,,38.0,,,,,5.0,,,,,,,,,,,,,,,,143.0
Nidavellir's Finest Set,Wrist,Nidavellir's Finest Arm Guards,9.2,84.0,32.0,30000.0,,,,42.0,,,5.0,,10.0,,,,,,,,,,,,,,,,158.0
Nidavellir's Finest Set,Wrist,Nidavellir's Finest Arm Guards,9.3,92.0,35.0,32500.0,,,,45.0,,,,,20.0,10.0,,,,,,,,,,,,,,,172.0
Nidavellir's Finest Set,Wrist,Nidavellir's Finest Arm Guards,10.0,100.0,38.0,35000.0,,,,50.0,,,,,30.0,,1.0,,,,,,,,,,,,,,188.0
Nidavellir's Finest Set,Waist,Nidavellir's Finest Waist Guard,2.0,,12.0,,,,,6.0,,,,,,,,,,,,,2.0,,,,,,,,18.0
Nidavellir's Finest Set,Waist,Nidavellir's Finest Waist Guard,3.0,23.0,,1200.0,6.0,,,10.0,,,,,,,,,,,,,,,,,,,,,33.0
Nidavellir's Finest Set,Waist,Nidavellir's Finest Waist Guard,4.0,,35.0,4000.0,,,,14.0,,,,,,,,2.0,,,,,,,,,,,,,49.0
Nidavellir's Finest Set,Waist,Nidavellir's Finest Waist Guard,5.0,,50.0,6500.0,,,,18.0,,,,,,,,4.0,,,,,,,,,,,,,68.0
Nidavellir's Finest Set,Waist,Nidavellir's Finest Waist Guard,6.0,,61.0,10000.0,,1.0,,22.0,,,,,,,,,,,,,,,,,,,,,83.0
Nidavellir's Finest Set,Waist,Nidavellir's Finest Waist Guard,7.0,,72.0,13500.0,,2.0,,26.0,,,,,,,,,,,,,,,,,,,,,98.0
Nidavellir's Finest Set,Waist,Nidavellir's Finest Waist Guard,8.0,,83.0,16500.0,,3.0,,30.0,,,,,,,,,,,,,,10.0,,,,,,,113.0
Nidavellir's Finest Set,Waist,Nidavellir's Finest Waist Guard,9.0,,94.0,25000.0,,,,34.0,,,,,,,,,,10.0,,,,20.0,,,,,,,128.0
Nidavellir's Finest Set,Waist,Nidavellir's Finest Waist Guard,9.1,,105.0,27500.0,,,,38.0,,,,,5.0,,,,,,,,,,,,,,,,143.0
Nidavellir's Finest Set,Waist,Nidavellir's Finest Waist Guard,9.2,,116.0,30000.0,,,,42.0,,,5.0,,10.0,,,,,,,,,,,,,,,,158.0
Nidavellir's Finest Set,Waist,Nidavellir's Finest Waist Guard,9.3,,127.0,32500.0,,,,46.0,,,,,20.0,10.0,,,,,,,,,,,,,,,173.0
Nidavellir's Finest Set,Waist,Nidavellir's Finest Waist Guard,10.0,,138.0,35000.0,,,,50.0,,,,,30.0,,1.0,,,,,,,,,,,,,,188.0
Enlightenment Set,Chest,Spaulders of Enlightenment,3.0,12.0,20.0,2800.0,,,20.0,,,,,,,,,,,,,,,,,,,,,,52.0
Enlightenment Set,Chest,Spaulders of Enlightenment,4.0,20.0,28.0,6000.0,,,28.0,,,,,,,,,4.0,,,,,,,,,,,,,76.0
Enlightenment Set,Chest,Spaulders of Enlightenment,5.0,25.0,36.0,10000.0,,,36.0,,,,,,,,,8.0,,,,,,,,,,,,,97.0
Enlightenment Set,Chest,Spaulders of Enlightenment,6.0,35.0,44.0,15000.0,,2.0,44.0,,,,,,,,,,,,,,,,,,,,,,123.0
Enlightenment Set,Chest,Spaulders of Enlightenment,7.0,42.0,52.0,20000.0,,4.0,52.0,,,,,,,,,,,,,,,,,,,,,,146.0
Enlightenment Set,Chest,Spaulders of Enlightenment,8.0,48.0,60.0,25000.0,,5.0,60.0,,,,20.0,,,,,,,,,,,,,,,,,,168.0
Enlightenment Set,Chest,Spaulders of Enlightenment,9.0,54.0,68.0,35000.0,,,68.0,,,,40.0,2.0,,,,,,,,,,,,,,,,,190.0
Enlightenment Set,Chest,Spaulders of Enlightenment,9.1,61.0,76.0,37500.0,,,76.0,,,,,,10.0,,,,,,,,,,,,,,,,213.0
Enlightenment Set,Chest,Spaulders of Enlightenment,9.2,67.0,84.0,40000.0,,,84.0,,,,10.0,,15.0,,,,,,,,,,,,,,,,235.0
Enlightenment Set,Chest,Spaulders of Enlightenment,9.3,74.0,92.0,42500.0,,,92.0,,,,,,30.0,20.0,,,,,,,,,,,,,,,258.0
Enlightenment Set,Chest,Spaulders of Enlightenment,10.0,80.0,100.0,45000.0,,,100.0,,,,,,50.0,,1.0,,,,,,,,,,,,,,280.0
Enlightenment Set,Wrist,Bracers of Enlightenment,3.0,12.0,,1800.0,,,20.0,,,,,,,,,,,,,,,,,,,,,,32.0
Enlightenment Set,Wrist,Bracers of Enlightenment,4.0,30.0,,4000.0,,,18.0,,,,,,,,,2.0,,,,,,,,,,,,,48.0
Enlightenment Set,Wrist,Bracers of Enlightenment,5.0,38.0,,6500.0,,,23.0,,,,,,,,,4.0,,,,,,,,,,,,,61.0
Enlightenment Set,Wrist,Bracers of Enlightenment,6.0,50.0,,10000.0,,1.0,28.0,,,,,,,,,,,,,,,,,,,,,,78.0
Enlightenment Set,Wrist,Bracers of Enlightenment,7.0,59.0,,13500.0,,2.0,33.0,,,,,,,,,,,,,,,,,,,,,,92.0
Enlightenment Set,Wrist,Bracers of Enlightenment,8.0,68.0,,16500.0,,3.0,38.0,,,,10.0,,,,,,,,,,,,,,,,,,106.0
Enlightenment Set,Wrist,Bracers of Enlightenment,9.0,77.0,,35000.0,,,43.0,,,,20.0,,,,,,5.0,,,,,,,,,,,,120.0
Enlightenment Set,Wrist,Bracers of Enlightenment,9.1,86.0,,27500.0,,,48.0,,,,,,5.0,,,,,,,,,,,,,,,,134.0
Enlightenment Set,Wrist,Bracers of Enlightenment,9.2,95.0,,30000.0,,,53.0,,,,5.0,,10.0,,,,,,,,,,,,,,,,148.0
Enlightenment Set,Wrist,Bracers of Enlightenment,9.3,104.0,,32500.0,,,58.0,,,,,,20.0,10.0,,,,,,,,,,,,,,,162.0
Enlightenment Set,Wrist,Bracers of Enlightenment,10.0,113.0,,35000.0,,,63.0,,,,,,30.0,,1.0,,,,,,,,,,,,,,176.0
Enlightenment Set,Waist,Belt of Enlightenment,3.0,,20.0,1800.0,,,13.0,,,,,,,,,,,,,,,,,,,,,,33.0
Enlightenment Set,Waist,Belt of Enlightenment,4.0,,30.0,4000.0,,,18.0,,,,,,,,,2.0,,,,,,,,,,,,,48.0
Enlightenment Set,Waist,Belt of Enlightenment,5.0,,38.0,6500.0,,,23.0,,,,,,,,,4.0,,,,,,,,,,,,,61.0
Enlightenment Set,Waist,Belt of Enlightenment,6.0,,50.0,10000.0,,1.0,28.0,,,,,,,,,,,,,,,,,,,,,,78.0
Enlightenment Set,Waist,Belt of Enlightenment,7.0,,59.0,13500.0,,2.0,33.0,,,,,,,,,,,,,,,,,,,,,,92.0
Enlightenment Set,Waist,Belt of Enlightenment,8.0,,68.0,16500.0,,3.0,38.0,,,,10.0,,,,,,,,,,,,,,,,,,106.0
Enlightenment Set,Waist,Belt of Enlightenment,9.0,,77.0,25000.0,,,43.0,,,,20.0,,,,,,,10.0,,,,,,,,,,,120.0
Enlightenment Set,Waist,Belt of Enlightenment,9.1,,86.0,27500.0,,,48.0,,,,,,5.0,,,,,,,,,,,,,,,,134.0
Enlightenment Set,Waist,Belt of Enlightenment,9.2,,95.0,30000.0,,,53.0,,,,5.0,,10.0,,,,,,,,,,,,,,,,148.0
Enlightenment Set,Waist,Belt of Enlightenment,9.3,,104.0,32500.0,,,58.0,,,,,,20.0,10.0,,,,,,,,,,,,,,,162.0
Enlightenment Set,Waist,Belt of Enlightenment,10.0,,113.0,35000.0,,,63.0,,,,,,30.0,,1.0,,,,,,,,,,,,,,176.0
Raven Tears Set,Chest,Cuirass of Raven Tears,3.0,14.0,32.0,,,,,,,14.0,,,,,,,,,,,,,,,,,,,60.0
Raven Tears Set,Chest,Cuirass of Raven Tears,4.0,20.0,45.0,6000.0,4.0,,,,,20.0,,,,,,,,,,,,,,,,,,,85.0
Raven Tears Set,Chest,Cuirass of Raven Tears,5.0,25.0,58.0,10000.0,8.0,,,,,25.0,,,,,,,,,,,,,,,,,,,108.0
Raven Tears Set,Chest,Cuirass of Raven Tears,6.0,31.0,70.0,15000.0,,2.0,,,,31.0,,,,,,,,,,,,,,,,,,,132.0
Raven Tears Set,Chest,Cuirass of Raven Tears,7.0,36.0,83.0,20000.0,,4.0,,,,36.0,,,,,,,,,,,,,,,,,,,155.0
Raven Tears Set,Chest,Cuirass of Raven Tears,8.0,42.0,96.0,25000.0,,5.0,,,,42.0,,,,,,,,,,,,20.0,,,,,,,180.0
Raven Tears Set,Chest,Cuirass of Raven Tears,9.0,48.0,109.0,35000.0,,,,,,48.0,,2.0,,,,,,,,,,4.0,,,,,,,205.0
Raven Tears Set,Chest,Cuirass of Raven Tears,9.1,53.0,122.0,37500.0,,,,,,53.0,,,10.0,,,,,,,,,,,,,,,,228.0
Raven Tears Set,Chest,Cuirass of Raven Tears,9.2,59.0,134.0,40000.0,,,,,,59.0,10.0,,15.0,,,,,,,,,,,,,,,,252.0
Raven Tears Set,Chest,Cuirass of Raven Tears,9.3,64.0,147.0,42500.0,,,,,,64.0,,,30.0,20.0,,,,,,,,,,,,,,,275.0
Raven Tears Set,Chest,Cuirass of Raven Tears,10.0,70.0,160.0,45000.0,,,,,,70.0,,,50.0,,1.0,,,,,,,,,,,,,,300.0
Raven Tears Set,Wrist,Bracers of Raven Tears,3.0,19.0,10.0,,,,,,,9.0,,,,,,,,,,,,,,,,,,,38.0
Raven Tears Set,Wrist,Bracers of Raven Tears,4.0,26.0,14.0,4000.0,,,,,,12.0,,,,,,2.0,,,,,,,,,,,,,52.0
Raven Tears Set,Wrist,Bracers of Raven Tears,5.0,34.0,18.0,6500.0,,,,,,16.0,,,,,,4.0,,,,,,,,,,,,,68.0
Raven Tears Set,Wrist,Bracers of Raven Tears,6.0,41.0,22.0,10000.0,,1.0,,,,19.0,,,,,,,,,,,,,,,,,,,82.0
Raven Tears Set,Wrist,Bracers of Raven Tears,7.0,49.0,26.0,13500.0,,2.0,,,,23.0,,,,,,,,,,,,,,,,,,,98.0
Raven Tears Set,Wrist,Bracers of Raven Tears,8.0,56.0,30.0,16500.0,,3.0,,,,26.0,,,,,,,,,,,,10.0,,,,,,,112.0
Raven Tears Set,Wrist,Bracers of Raven Tears,9.0,64.0,34.0,25000.0,,,,,,30.0,,,,,,,5.0,,,,,20.0,,,,,,,128.0
Raven Tears Set,Wrist,Bracers of Raven Tears,9.1,71.0,38.0,27500.0,,,,,,33.0,,,5.0,,,,,,,,,,,,,,,,142.0
Raven Tears Set,Wrist,Bracers of Raven Tears,9.2,79.0,42.0,30000.0,,,,,,37.0,5.0,,10.0,,,,,,,,,,,,,,,,158.0
Raven Tears Set,Wrist,Bracers of Raven Tears,9.3,86.0,46.0,32500.0,,,,,,40.0,,,20.0,10.0,,,,,,,,,,,,,,,172.0
Raven Tears Set,Wrist,Bracers of Raven Tears,10.0,94.0,50.0,35000.0,,,,,,44.0,,,30.0,,1.0,,,,,,,,,,,,,,188.0
Raven Tears Set,Waist,Girdle of Raven Tears,3.0,,29.0,,,,,,,9.0,,,,,,,,,,,,,,,,,,,38.0
Raven Tears Set,Waist,Girdle of Raven Tears,4.0,,28.0,4000.0,,,,,,12.0,,,,,,2.0,,,,,,,,,,,,,40.0
Raven Tears Set,Waist,Girdle of Raven Tears,5.0,,52.0,6500.0,,,,,,16.0,,,,,,4.0,,,,,,,,,,,,,68.0
Raven Tears Set,Waist,Girdle of Raven Tears,6.0,,63.0,10000.0,,1.0,,,,19.0,,,,,,,,,,,,,,,,,,,82.0
Raven Tears Set,Waist,Girdle of Raven Tears,7.0,,75.0,13500.0,,2.0,,,,23.0,,,,,,,,,,,,,,,,,,,98.0
Raven Tears Set,Waist,Girdle of Raven Tears,8.0,,86.0,16500.0,,3.0,,,,26.0,,,,,,,,,,,,,,,,,,,112.0
Raven Tears Set,Waist,Girdle of Raven Tears,9.0,,98.0,25000.0,,,,,,30.0,,,,,,,,10.0,,,,20.0,,,,,,,128.0
Raven Tears Set,Waist,Girdle of Raven Tears,9.1,,109.0,27500.0,,,,,,33.0,,,5.0,,,,,,,,,,,,,,,,142.0
Raven Tears Set,Waist,Girdle of Raven Tears,9.2,,121.0,30000.0,,,,,,37.0,5.0,,10.0,,,,,,,,,,,,,,,,158.0
Raven Tears Set,Waist,Girdle of Raven Tears,9.3,,132.0,32500.0,,,,,,40.0,,,20.0,10.0,,,,,,,,,,,,,,,172.0
Raven Tears Set,Waist,Girdle of Raven Tears,10.0,,144.0,35000.0,,,,,,44.0,,,30.0,,1.0,,,,,,,,,,,,,,188.0
Radiance Set,Chest,Shoulder Straps of Radiance,4.0,34.0,20.0,,,,17.0,,,17.0,,,,,,,,,,,,,,,,,,,88.0
Radiance Set,Chest,Shoulder Straps of Radiance,5.0,43.0,25.0,10000.0,,,22.0,,,22.0,,,,,,10.0,,,,,,,,,,,,,112.0
Radiance Set,Chest,Shoulder Straps of Radiance,6.0,53.0,31.0,15000.0,,2.0,26.0,,,26.0,,,,,,,,,,,,,,,,,,,136.0
Radiance Set,Chest,Shoulder Straps of Radiance,7.0,62.0,36.0,20000.0,,4.0,31.0,,,31.0,,,,,,,,,,,,,,,,,,,160.0
Radiance Set,Chest,Shoulder Straps of Radiance,8.0,72.0,42.0,25000.0,,5.0,36.0,,,36.0,,,,,,,,,,,,20.0,,,,,,,186.0
Radiance Set,Chest,Shoulder Straps of Radiance,9.0,82.0,48.0,35000.0,,,41.0,,,41.0,,2.0,,,,,,,,,,40.0,,,,,,,212.0
Radiance Set,Chest,Shoulder Straps of Radiance,9.1,91.0,53.0,37500.0,,,46.0,,,46.0,,,10.0,,,,,,,,,,,,,,,,236.0
Radiance Set,Chest,Shoulder Straps of Radiance,9.2,101.0,59.0,40000.0,,,50.0,,,50.0,10.0,,15.0,,,,,,,,,,,,,,,,260.0
Radiance Set,Chest,Shoulder Straps of Radiance,9.3,110.0,64.0,42500.0,,,55.0,,,55.0,,,30.0,20.0,,,,,,,,,,,,,,,284.0
Radiance Set,Chest,Shoulder Straps of Radiance,10.0,120.0,70.0,45000.0,,,60.0,,,60.0,,,50.0,,1.0,,,,,,,,,,,,,,310.0
Radiance Set,Wrist,Gauntlets of Radiance,4.0,28.0,,,,,,,,,,,,,,,,,,,,,,,,,,,28.0
Radiance Set,Wrist,Gauntlets of Radiance,5.0,36.0,,6500.0,,,,,,,,,,,,6.0,,,,,,,,,,,,,36.0
Radiance Set,Wrist,Gauntlets of Radiance,6.0,44.0,,10000.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,44.0
Radiance Set,Wrist,Gauntlets of Radiance,7.0,52.0,,13500.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,52.0
Radiance Set,Wrist,Gauntlets of Radiance,8.0,60.0,,16500.0,,3.0,,,,,,,,,,,,,,,,10.0,,,,,,,60.0
Radiance Set,Wrist,Gauntlets of Radiance,9.0,68.0,,25000.0,,,,,,,,,,,,,5.0,,,,,40.0,,,,,,,68.0
Radiance Set,Wrist,Gauntlets of Radiance,9.1,76.0,,27500.0,,,,,,,,,5.0,,,,,,,,,,,,,,,,76.0
Radiance Set,Wrist,Gauntlets of Radiance,9.2,84.0,,30000.0,,,,,,,5.0,,10.0,,,,,,,,,,,,,,,,84.0
Radiance Set,Wrist,Gauntlets of Radiance,9.3,92.0,,32500.0,,,,,,,,,20.0,10.0,,,,,,,,,,,,,,,92.0
Radiance Set,Wrist,Gauntlets of Radiance,10.0,100.0,,35000.0,,,,,,,,,30.0,,1.0,,,,,,,,,,,,,,100.0
